                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3359,                 1.0543,                 1.4589,                0.98376,                0.94716,                0.96999,                0.53172,                 1.5144,                0.56666,                 1.7357,             0.00036307,             0.00036307,             0.00036307
                      2,                 1.2842,                0.94333,                 1.4037,                0.94824,                0.97071,                0.96838,                0.55159,                 1.3996,                0.58702,                 1.6031,             0.00072977,             0.00072977,             0.00072977
                      3,                 1.2472,                0.94418,                  1.374,                0.95411,                0.94168,                0.95393,                0.54771,                 1.4854,                0.61232,                 1.7736,              0.0010928,              0.0010928,              0.0010928
                      4,                 1.2273,                0.96107,                 1.3824,                0.94474,                0.94415,                0.97555,                0.53782,                 1.4693,                0.67729,                 1.7109,              0.0010945,              0.0010945,              0.0010945
                      5,                  1.243,                0.96833,                   1.36,                0.96902,                0.94658,                0.98194,                0.55091,                 1.4572,                0.62638,                 1.6562,               0.001089,               0.001089,               0.001089
                      6,                 1.2291,                0.96254,                 1.3557,                0.92971,                0.96674,                 0.9892,                0.53687,                 1.4991,                0.69116,                 1.7195,              0.0010835,              0.0010835,              0.0010835
                      7,                 1.1931,                0.94414,                 1.3589,                0.93158,                0.92106,                0.96677,                 0.5151,                 1.5345,                 0.6877,                 1.8313,               0.001078,               0.001078,               0.001078
                      8,                  1.233,                0.96598,                 1.3615,                0.85602,                0.87999,                0.94739,                0.53663,                 1.4846,                0.70016,                 1.8297,              0.0010725,              0.0010725,              0.0010725
                      9,                 1.1763,                0.89532,                 1.3381,                0.96593,                0.95721,                0.96882,                0.55839,                 1.4551,                0.56765,                 1.7462,               0.001067,               0.001067,               0.001067
                     10,                 1.1363,                0.86953,                 1.3215,                0.96518,                0.98224,                0.97208,                0.56513,                 1.4018,                0.53623,                 1.6649,              0.0010615,              0.0010615,              0.0010615
                     11,                 1.1465,                 0.8587,                  1.314,                0.97266,                0.97754,                0.97379,                0.59309,                 1.3689,                0.53656,                 1.6144,               0.001056,               0.001056,               0.001056
                     12,                 1.1335,                0.87022,                 1.3159,                0.95122,                0.96848,                0.97417,                0.54994,                 1.4192,                0.64518,                 1.6941,              0.0010505,              0.0010505,              0.0010505
                     13,                 1.1405,                0.83557,                 1.3111,                0.97243,                0.97555,                0.98127,                0.59312,                 1.3981,                0.53787,                 1.6453,               0.001045,               0.001045,               0.001045
                     14,                 1.1467,                 0.8648,                 1.3208,                0.97683,                0.95695,                0.97856,                0.54744,                 1.4978,                0.56474,                 1.7654,              0.0010395,              0.0010395,              0.0010395
                     15,                 1.1462,                0.84423,                 1.3061,                0.97665,                0.99134,                  0.995,                 0.5702,                 1.4406,                0.53887,                 1.6685,               0.001034,               0.001034,               0.001034
                     16,                 1.1288,                0.87085,                 1.3172,                0.98893,                0.98591,                 0.9907,                0.60076,                 1.3598,                0.51416,                 1.6385,              0.0010285,              0.0010285,              0.0010285
                     17,                  1.098,                0.82073,                 1.2743,                0.96218,                0.97087,                0.97093,                0.55202,                 1.4543,                0.57359,                  1.737,               0.001023,               0.001023,               0.001023
                     18,                  1.084,                0.80437,                 1.2755,                0.95142,                0.95057,                0.94971,                0.55189,                 1.4374,                0.56548,                 1.7247,              0.0010175,              0.0010175,              0.0010175
