                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88885,                0.66345,                 1.1691,                0.95195,                0.97313,                0.96901,                0.52528,                 1.5131,                0.53206,                 1.9708,             0.00073704,             0.00073704,             0.00073704
                     36,                0.88192,                0.61925,                 1.1568,                0.95909,                0.95563,                0.96319,                0.53333,                 1.4405,                0.54526,                 1.8745,             0.00072604,             0.00072604,             0.00072604
                     37,                0.87444,                0.63106,                 1.1531,                 0.9421,                0.93768,                0.94707,                 0.5098,                 1.5718,                0.57805,                 2.0124,             0.00071504,             0.00071504,             0.00071504
                     38,                 0.8519,                 0.5995,                 1.1255,                0.96633,                0.93692,                0.96001,                0.52544,                 1.4933,                0.54377,                 1.9263,             0.00070404,             0.00070404,             0.00070404
                     39,                0.85979,                0.60623,                 1.1483,                0.96601,                0.95898,                0.96225,                0.54002,                 1.4603,                0.52903,                 1.9111,             0.00069304,             0.00069304,             0.00069304
                     40,                0.84707,                0.57011,                 1.1289,                0.96552,                0.95789,                0.96813,                0.54727,                 1.4592,                0.50821,                 1.8884,             0.00068204,             0.00068204,             0.00068204
                     41,                0.83849,                0.60892,                 1.1513,                0.96825,                0.95931,                0.95855,                 0.5251,                 1.5043,                 0.5351,                 1.9507,             0.00067104,             0.00067104,             0.00067104
                     42,                0.83713,                0.57905,                  1.118,                0.95202,                0.94745,                0.95062,                0.52321,                 1.4839,                0.51806,                 1.9529,             0.00066005,             0.00066005,             0.00066005
                     43,                0.83233,                0.57835,                 1.1194,                0.98821,                0.97405,                0.98179,                0.55591,                 1.4164,                0.49897,                 1.8629,             0.00064905,             0.00064905,             0.00064905
                     44,                0.82267,                0.57329,                  1.122,                0.96887,                0.95612,                0.96188,                0.53176,                 1.4934,                0.51782,                 1.9825,             0.00063805,             0.00063805,             0.00063805
                     45,                 0.8199,                0.57421,                 1.1249,                0.95521,                0.93583,                0.93752,                0.52275,                 1.5009,                0.51331,                 1.9441,             0.00062705,             0.00062705,             0.00062705
                     46,                0.78218,                0.54545,                 1.1044,                0.96882,                0.95801,                0.95338,                0.52727,                  1.504,                0.52171,                 2.0147,             0.00061605,             0.00061605,             0.00061605
                     47,                0.81121,                0.54327,                 1.1107,                0.96542,                0.96226,                0.97535,                0.55937,                 1.4313,                0.50892,                 1.9003,             0.00060505,             0.00060505,             0.00060505
                     48,                0.79167,                0.54515,                 1.1099,                0.95958,                0.96461,                0.97108,                0.53884,                 1.4608,                0.50879,                   1.95,             0.00059405,             0.00059405,             0.00059405
                     49,                0.80209,                0.56968,                 1.1108,                0.95574,                0.95567,                0.96687,                0.52581,                  1.493,                0.51389,                 1.9522,             0.00058305,             0.00058305,             0.00058305
                     50,                0.80893,                 0.5628,                 1.1146,                0.98619,                0.96855,                0.98315,                0.54144,                 1.4837,                0.49193,                 2.0001,             0.00057205,             0.00057205,             0.00057205
                     51,                0.80046,                0.54736,                 1.1034,                 0.9708,                0.96265,                0.96944,                0.53982,                 1.4801,                0.50543,                  2.021,             0.00056105,             0.00056105,             0.00056105
                     52,                 0.7885,                0.55127,                 1.1103,                  0.953,                 0.9632,                0.96819,                0.51915,                 1.5559,                0.53065,                 2.1158,             0.00055006,             0.00055006,             0.00055006
                     53,                0.76849,                0.52142,                 1.0915,                0.96273,                0.97056,                0.96381,                0.55258,                 1.4358,                0.48832,                 1.9402,             0.00053906,             0.00053906,             0.00053906
                     54,                0.75294,                0.51927,                 1.0821,                0.97106,                0.96644,                0.97145,                0.53983,                 1.4728,                 0.5018,                 1.9815,             0.00052806,             0.00052806,             0.00052806
                     55,                0.77731,                0.52313,                 1.1072,                 0.9665,                0.94469,                0.96379,                0.53344,                 1.4898,                0.49802,                 2.0185,             0.00051706,             0.00051706,             0.00051706
                     56,                0.76518,                0.52063,                 1.0934,                0.96115,                0.96653,                0.96807,                0.53952,                 1.4858,                0.49627,                 2.0084,             0.00050606,             0.00050606,             0.00050606
                     57,                0.76228,                0.53309,                 1.0934,                0.97824,                0.95786,                0.97752,                0.53731,                 1.4609,                0.49146,                 1.9789,             0.00049506,             0.00049506,             0.00049506
                     58,                0.74041,                0.50993,                 1.0779,                0.98027,                0.96283,                0.97555,                0.54397,                  1.484,                0.49347,                 2.0592,             0.00048406,             0.00048406,             0.00048406
                     59,                0.74491,                0.51426,                 1.0795,                0.97648,                0.96942,                0.97629,                0.54692,                 1.4818,                 0.4938,                 2.0488,             0.00047306,             0.00047306,             0.00047306
                     60,                0.71507,                0.49829,                 1.0723,                0.97703,                0.97649,                0.97602,                0.53166,                 1.4969,                 0.4983,                 2.0943,             0.00046206,             0.00046206,             0.00046206
                     61,                0.74504,                 0.5353,                  1.081,                 0.9809,                0.96268,                 0.9768,                0.54768,                 1.4557,                0.49761,                 1.9966,             0.00045107,             0.00045107,             0.00045107
                     62,                0.74344,                0.51883,                 1.0826,                0.98223,                0.97053,                0.97422,                0.54581,                 1.4748,                0.50857,                 2.0103,             0.00044007,             0.00044007,             0.00044007
                     63,                0.72441,                0.51372,                 1.0737,                0.97313,                0.97371,                0.97295,                0.55218,                 1.4686,                0.49843,                 2.0226,             0.00042907,             0.00042907,             0.00042907
                     64,                0.71953,                0.49738,                 1.0709,                0.96715,                0.95785,                0.96419,                0.53445,                  1.498,                0.49941,                 2.0808,             0.00041807,             0.00041807,             0.00041807
                     65,                0.72309,                0.48955,                 1.0729,                0.96694,                0.95623,                0.96903,                0.53611,                 1.4717,                0.49319,                 2.0241,             0.00040707,             0.00040707,             0.00040707
                     66,                0.72514,                0.49262,                 1.0697,                0.96808,                 0.9624,                0.97879,                0.54523,                 1.4771,                0.49181,                 2.0556,             0.00039607,             0.00039607,             0.00039607
                     67,                0.69418,                0.50051,                 1.0552,                0.96369,                0.97264,                0.96843,                 0.5427,                 1.4577,                 0.4878,                 2.0112,             0.00038507,             0.00038507,             0.00038507
                     68,                0.70263,                0.48989,                 1.0575,                0.96293,                0.96947,                0.97286,                  0.547,                 1.4668,                0.50164,                 2.0609,             0.00037407,             0.00037407,             0.00037407
                     69,                0.70218,                0.49043,                 1.0575,                0.95924,                 0.9624,                0.96607,                0.53652,                  1.494,                0.50235,                  2.073,             0.00036307,             0.00036307,             0.00036307
                     70,                 0.6909,                0.48373,                 1.0498,                 0.9688,                0.97089,                0.97329,                0.54628,                 1.4724,                 0.4946,                 2.0465,             0.00035208,             0.00035208,             0.00035208
                     71,                0.67163,                 0.4474,                 1.0493,                   0.97,                 0.9797,                0.97526,                0.54112,                 1.4985,                0.50196,                 2.1102,             0.00034108,             0.00034108,             0.00034108
                     72,                0.68628,                0.47367,                  1.056,                0.97421,                0.97348,                0.97563,                0.54143,                 1.4818,                0.49728,                 2.0976,             0.00033008,             0.00033008,             0.00033008
                     73,                0.67359,                0.45831,                 1.0416,                0.96341,                0.96161,                0.96184,                 0.5366,                 1.4967,                0.50169,                 2.1276,             0.00031908,             0.00031908,             0.00031908
                     74,                0.67234,                0.47384,                 1.0512,                0.97074,                0.96858,                0.97052,                  0.537,                    1.5,                0.49748,                 2.1455,             0.00030808,             0.00030808,             0.00030808
                     75,                0.66105,                0.45271,                 1.0479,                0.95926,                0.95213,                0.95818,                0.53259,                 1.5071,                0.50147,                  2.169,             0.00029708,             0.00029708,             0.00029708
                     76,                0.67351,                0.45874,                 1.0421,                0.96593,                0.95701,                0.96391,                0.54451,                 1.4768,                0.50176,                 2.1383,             0.00028608,             0.00028608,             0.00028608
                     77,                0.66104,                0.44699,                 1.0262,                0.96978,                0.98162,                0.97495,                0.54404,                 1.4741,                0.47877,                 2.0849,             0.00027508,             0.00027508,             0.00027508
                     78,                 0.6534,                0.45714,                  1.044,                 0.9716,                0.97202,                0.97301,                0.54396,                 1.5001,                 0.5005,                 2.1537,             0.00026408,             0.00026408,             0.00026408
                     79,                0.64194,                0.43854,                 1.0322,                 0.9686,                0.96935,                0.96595,                0.53891,                 1.4892,                0.48439,                 2.1552,             0.00025309,             0.00025309,             0.00025309
                     80,                0.64659,                 0.4331,                 1.0374,                0.95847,                0.97083,                0.97057,                0.54771,                  1.484,                0.48772,                 2.1342,             0.00024209,             0.00024209,             0.00024209
                     81,                0.62782,                0.41939,                 1.0239,                0.96301,                0.97464,                0.97734,                0.54205,                   1.48,                 0.5027,                 2.1515,             0.00023109,             0.00023109,             0.00023109
                     82,                0.63388,                  0.449,                 1.0267,                0.97019,                 0.9674,                0.97779,                0.54803,                 1.4779,                0.47399,                 2.1278,             0.00022009,             0.00022009,             0.00022009
                     83,                0.65767,                0.44657,                 1.0305,                0.97412,                0.96818,                  0.976,                0.54866,                  1.481,                0.48629,                 2.1759,             0.00020909,             0.00020909,             0.00020909
                     84,                0.63015,                0.44444,                  1.024,                 0.9637,                0.95035,                0.97283,                0.54425,                 1.4898,                0.49952,                 2.1785,             0.00019809,             0.00019809,             0.00019809
                     85,                 0.6108,                0.40391,                 1.0096,                0.96311,                0.95988,                0.96692,                0.53518,                 1.4896,                0.49569,                  2.208,             0.00018709,             0.00018709,             0.00018709
                     86,                0.63671,                0.43789,                 1.0207,                0.95373,                0.95962,                0.96314,                0.54496,                   1.48,                0.48763,                 2.1982,             0.00017609,             0.00017609,             0.00017609
                     87,                0.61157,                0.42635,                 1.0196,                0.96798,                0.96428,                0.97394,                0.54133,                 1.4967,                0.49664,                 2.2155,             0.00016509,             0.00016509,             0.00016509
                     88,                0.61317,                0.42505,                 1.0217,                0.96125,                0.96276,                0.97396,                0.54367,                  1.505,                0.50129,                 2.2389,              0.0001541,              0.0001541,              0.0001541
                     89,                0.60983,                0.42884,                  1.012,                0.95789,                0.95659,                0.96396,                0.54922,                 1.4859,                0.49699,                 2.1923,              0.0001431,              0.0001431,              0.0001431
                     90,                0.58763,                0.39548,                  0.998,                0.94629,                 0.9529,                0.95599,                0.54071,                 1.5023,                0.50952,                 2.2151,              0.0001321,              0.0001321,              0.0001321
                     91,                0.52404,                0.28794,                0.97367,                0.96245,                0.96701,                0.96601,                0.54089,                 1.4769,                0.47475,                 2.2227,              0.0001211,              0.0001211,              0.0001211
                     92,                0.50311,                0.26842,                0.96917,                0.95812,                0.94896,                 0.9516,                0.53145,                 1.4902,                0.50093,                 2.2399,              0.0001101,              0.0001101,              0.0001101
                     93,                0.46963,                0.25732,                0.94363,                0.95977,                 0.9517,                0.95409,                0.52601,                 1.5188,                0.49825,                 2.2883,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     94,                0.46786,                0.25678,                0.93895,                0.95633,                0.95758,                0.95925,                0.53145,                 1.4984,                0.49534,                 2.2429,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     95,                0.46547,                0.25269,                0.93691,                0.95788,                0.95666,                0.95909,                0.53112,                 1.5244,                0.50507,                 2.3013,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     96,                 0.4544,                0.24537,                0.92726,                0.95795,                0.95598,                0.95998,                0.53682,                 1.5074,                 0.5011,                 2.2805,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     97,                0.45245,                0.24883,                0.93121,                0.95256,                0.95748,                0.95846,                0.53735,                 1.5123,                0.50578,                 2.2966,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     98,                0.45202,                0.24549,                0.93498,                0.95349,                0.95575,                0.96123,                0.53988,                 1.5097,                0.49664,                  2.303,             4.4107e-05,             4.4107e-05,             4.4107e-05
                     99,                0.44886,                0.24338,                0.92584,                0.94969,                0.95937,                0.96138,                 0.5383,                 1.5108,                0.50433,                 2.3089,             3.3108e-05,             3.3108e-05,             3.3108e-05
                    100,                0.45071,                0.24379,                0.92358,                0.95399,                0.95752,                0.96323,                0.53931,                 1.5145,                0.50061,                  2.321,             2.2109e-05,             2.2109e-05,             2.2109e-05
